cluster,n,ratio,rmse_rel,slip_mean,hp_mean,pole_mode,nema_design,nema_kva,bar_material,name
0,518,0.35887742354261815,22.006544134205626,0.014355105105105105,52.837829617818535,4,"A,B",G,AL,TIC Premium Brand
1,552,0.24643676395228337,25.284544532618163,0.009714673913043478,300.0452914570471,6,"A,B",G,AL,TIC Premium Brand
2,369,0.26074062303055107,23.969139216947426,0.007920957542908762,1103.7533906336043,2,"A,B",F,CU,Standard / High Efficiency
3,209,0.9894445961209095,12.31867050599038,0.02959914938862307,2.122080415502392,4,"A,B,C",K,AL,TIC Premium Brand
4,370,0.5740627960616693,22.45387734008142,0.02322882882882883,14.427034158362162,6,"A,B,C",G,AL,TIC Premium Brand
5,679,0.17931700292175343,36.03312655515805,0.006848879070528556,340.7952888469072,4,"A,B",G,AL,TIC Premium Brand
