RatingID,PoleSpeed,MotorRotorInertia,Connection,BarMaterial,ERMaterial,WindingResistAt105,BarRes,ERRes,StatorOD,RotorOD,RotorSlotType,StatorSlotType,NemaDesign,NemaKVACode,Name,SRPM,Efficiency100,PowerFactor100,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,LockedRotorAmps,LockedRotorTorque,BreakDownTorque,SFRiseByRes1,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize,Zbase,R1,R2,R3,X1,X2,X3,Xm,XdPrime,XdDoublePrime,ShortCircuitTimeConstant,SubTransientTimeConstant,OpenCircuitTimeConstant,L1,L2,L3,FirstCycleInrush
3Q4300B,4,26.65551651,Delta,AL,AL,0.016406952,0.016558966,0.003400605,520,337.5999999,Dbl - Closed,72,"A,B",G,TIC Premium Brand,1800,0.963,0.899,300.0000041,460,60,1785,324.34,63.41,2330,191.5,259.1,48,1.289054726,10.08928941,0.099512778,0.652359545,16.26883316,16.26883316,62.50637436,26.15481758,15.56425953,13.85206127,8.298712218,0.426799506,N449,0.818835555,0.005468984,0.00665319,0.027701942,0.052266073,0.116425897,0.078124801,4.188316099,0.16554312,0.098502548,0.066999523,0.010905388,1.71627177,0.00013864,0.000308829,0.000207232,2.348045586
3H6040B,6,3.50617364,Delta,AL,AL,0.373152771,0.335568547,0.032762972,350,238.7,Dbl - Closed,72,A,H,TIC Premium Brand,1200,0.941,0.832,40.0000002,460,60,1176,47.82,16.69,341.9,331,249.7,44,1.284465021,5.266465962,1.322115541,4.521522999,17.59240913,17.59240913,81.77487946,31.87842369,17.73271751,16.11786461,5.651365967,2.68399334,364T,5.553766705,0.124384257,0.122777173,0.316320923,0.292551337,0.880835488,0.537524587,15.9125898,1.127185938,0.619508022,0.025236742,0.006324072,0.362819431,0.000776017,0.002336489,0.001425828,2.046071779
736350BQ,6,36.09694488,Delta,AL,AL,0.012642273,0.014703362,0.001593518,520,347.2,Dbl - Closed,72,A,H,TIC Premium Brand,1200,0.958,0.793,350.0000082,460,60,1190,431.51,184.01,2996.9,245.9,270.5,77,1.199556541,3.870205374,0.093496226,0.476863742,17.72230339,17.72230339,42.02384567,15.11349392,14.39248562,12.78599358,4.186047245,0.308708966,B447/9,0.615469222,0.004214091,0.005432294,0.026951317,0.046666601,0.085844519,0.048739396,1.443297233,0.127691893,0.077099563,0.06399131,0.007711414,0.746678078,0.000123787,0.00022771,0.000129285,2.078916232
736350CQ,6,36.09694488,Delta,AL,AL,0.019933325,0.023271399,0.002522103,520,347.2,Dbl - Closed,72,A,H,TIC Premium Brand,1200,0.958,0.796,350.0000082,575,60,1190,343.8,143.09,2365.3,242.4,267.6,77,1.199462125,3.870205374,0.14790301,0.754227936,17.72230339,17.72230339,41.96755219,15.1221323,14.39248562,12.81157017,4.186047245,0.488984317,B447/9,0.965609089,0.006644442,0.008597834,0.042656562,0.073866276,0.135735434,0.077218699,2.320053147,0.202099391,0.122062465,0.063962625,0.007716318,0.757653794,0.000195936,0.000360049,0.000204829,2.079459691
5H2010,2,0.105287855,Delta,AL,AL,1.490917368,1.004489064,0.571126791,230,123,Dbl - Closed,36,A,J,TIC Premium Brand,3600,0.908,0.874,10.00000005,460,60,3520,11.8,3.97,97.8,330.4,368,59,1.200260926,20.26378535,3.727384567,11.21853161,12.65660381,12.65660381,90.45625305,50.5318718,25.00883293,17.45458794,0,7.24289465,215T,22.5068749,0.496972456,0.525205285,0.745489067,0.811940561,2.303640771,1.579445864,66.89700852,3.038894757,1.736003597,0.015686265,0.007737078,0.349502239,0.002153739,0.006110597,0.00418961,2.169046917
5H2010B,2,0.105287855,Delta,AL,AL,1.490917368,1.004489064,0.571126791,230,123,Dbl - Closed,36,A,J,TIC Premium Brand,3600,0.908,0.874,10.00000005,460,60,3520,11.8,3.97,97.8,330.4,368,59,1.200260926,20.26378535,3.727384567,11.21853161,12.65660381,12.65660381,90.45625305,50.5318718,25.00883293,17.45458794,0,7.24289465,215T,22.5068749,0.496972456,0.525205285,0.745489067,0.811940561,2.303640771,1.579445864,66.89700852,3.038894757,1.736003597,0.015686265,0.007737078,0.349502239,0.002153739,0.006110597,0.00418961,2.169046917
5H2010C,2,0.105287855,Delta,AL,AL,2.260910969,1.532801628,0.871511816,230,123,Dbl - Closed,36,A,J,TIC Premium Brand,3600,0.909,0.866,10.00000005,575,60,3522,9.52,3.37,80.3,340,376,58,1.200510856,20.26378535,5.673651695,17.14089775,12.65660381,12.65660381,90.94777679,50.46989059,25.00883293,17.29080582,0,11.02757835,215T,34.87147109,0.75363699,0.801437815,1.137580242,1.236218244,3.523116131,2.404905065,98.50931893,4.63768338,2.645050346,0.015701637,0.007721904,0.337704854,0.003279171,0.009345356,0.006379209,2.167749344
5H2010 006,2,0.105287855,Delta,AL,AL,2.260910969,1.532801628,0.871511816,230,123,Dbl - Closed,36,A,J,TIC Premium Brand,3600,0.909,0.866,10.00000005,575,60,3522,9.52,3.37,80.3,340,376,58,1.200510856,20.26378535,5.673651695,17.14089775,12.65660381,12.65660381,90.94777679,50.46989059,25.00883293,17.29080582,0,11.02757835,215T,34.87147109,0.75363699,0.801437815,1.137580242,1.236218244,3.523116131,2.404905065,98.50931893,4.63768338,2.645050346,0.015701637,0.007721904,0.337704854,0.003279171,0.009345356,0.006379209,2.167749344
5H2010B,2,0.105287855,Delta,AL,AL,1.490917368,1.004489064,0.571126791,230,123,Dbl - Closed,36,A,J,TIC Premium Brand,3600,0.908,0.874,10.00000005,460,60,3520,11.8,3.97,97.8,330.4,368,59,1.200260926,20.26378535,3.727384567,11.21853161,12.65660381,12.65660381,90.45625305,50.5318718,25.00883293,17.45458794,0,7.24289465,215T,22.5068749,0.496972456,0.525205285,0.745489067,0.811940561,2.303640771,1.579445864,66.89700852,3.038894757,1.736003597,0.015686265,0.007737078,0.349502239,0.002153739,0.006110597,0.00418961,2.169046917
3Q2300,2,19.5786452,Delta,AL,AL,0.011955838,0.007464947,0.003997344,520,310,Dbl - Closed,48,A,H,TIC Premium Brand,3600,0.958,0.9,300,460,60,3580,325.82,68,2456.9,155,270,57,1.102941176,15.61726005,0.096466944,0.542189896,12.47052479,12.47052479,73.28921509,36.92396164,13.74664021,13.55536079,11.42420844,0.384883612,N449,0.815116088,0.003985279,0.003820764,0.028170368,0.045925415,0.117936421,0.079862323,3.905604762,0.16040493,0.092969325,0.113391255,0.010606318,2.79336156,0.000121821,0.000312836,0.000211841,2.351426323
3G4100,4,4.993274662,Delta,AL,AL,0.101012011,0.080248818,0.012457927,430,278,Dbl - Closed,60,"A,B,C",G,TIC Premium Brand,1800,0.959,0.872,99.99999795,460,60,1782,111.96,27.75,798.4,285.8,247,31,1.220958972,13.43575195,0.451826066,1.833711386,14.97742367,14.97742367,62.46141815,29.71369362,18.75097847,15.26985741,7.53756379,1.142168403,404T,2.372107215,0.03367067,0.030902248,0.116938018,0.158432427,0.342188104,0.216965686,9.570490949,0.488808114,0.289393087,0.042750724,0.007350573,0.850883001,0.000420255,0.000907682,0.000575519,2.092904365
5H2Y75,2,0.105287855,Delta,AL,AL,2.322351528,1.532801628,0.871511816,230,123,Dbl - Closed,36,"A,B",H,TIC Premium Brand,3600,0.898,0.913,7.499999719,460,60,3509,8.56,1.86,61.9,268.2,315.2,49,1.200304646,20.26378535,5.735092163,17.72262192,12.65660381,12.65660381,92.76849365,51.74656677,25.00883293,20.57067108,0,11.5266552,215T,31.02583222,0.774117176,0.801437815,1.137580212,1.262946919,3.658754134,2.511390208,142.7855504,4.830290999,2.736772319,0.016253096,0.008030922,0.484698345,0.003350071,0.009705147,0.006661669,2.193763169
5H2040,2,1.077761636,Delta,AL,AL,0.231134128,0.132063746,0.103712356,350,192.8,Dbl - Closed,36,"A,B",G,TIC Premium Brand,3600,0.925,0.876,40.0000002,460,60,3548,46.21,11.76,307.8,258.1,349.1,57,1.430737705,18.40877077,0.863714337,3.841213942,11.28480911,11.28480911,100.955574,61.77455902,20.65507126,19.32857895,0,2.654501677,324 / 326T,5.747265177,0.077044709,0.078592034,0.21086007,0.200420361,0.694505831,0.619522706,22.5834289,0.874205353,0.523178126,0.030145408,0.009736716,0.785660281,0.000531632,0.001842234,0.001643335,2.374569463
5H2040C,2,1.077761636,Delta,AL,AL,0.363301039,0.206349611,0.162050556,350,192.8,Dbl - Closed,36,"A,B",G,TIC Premium Brand,3600,0.925,0.876,40.0000002,575,60,3548,36.97,9.41,246.2,258,349,57,1.430327869,18.40877077,1.351707578,6.001769543,11.28480911,11.28480911,100.952179,61.77532578,20.65507126,19.32926941,0,4.147713184,324 / 326T,8.979616034,0.121100346,0.122800056,0.329468846,0.313246932,1.085446256,0.968018049,35.27910784,1.366293683,0.817618817,0.030153375,0.009737368,0.785504331,0.000830913,0.002879236,0.002567748,2.374578753
5H2050,2,1.077761636,Delta,AL,AL,0.179199106,0.101111308,0.079404772,350,192.8,Dbl - Closed,36,A,H,TIC Premium Brand,3600,0.93,0.869,49.99999898,460,60,3550,57.94,16.56,406.1,275.4,370,69,1.430228063,18.40877077,0.66351831,2.886027336,11.28480911,11.28480911,98.62744141,61.14155197,20.65507126,18.67646599,0,2.008779764,326T,4.58372668,0.059733035,0.060172027,0.161439735,0.15298998,0.519636391,0.468458007,16.03750748,0.656317883,0.395623655,0.02958787,0.009624918,0.729893782,0.000405819,0.001378378,0.001242623,2.366501614
5H2050C,2,1.077761636,Delta,AL,AL,0.265823207,0.149087593,0.117081527,350,192.8,Dbl - Closed,36,A,H,TIC Premium Brand,3600,0.932,0.859,49.99999898,575,60,3553,46.78,14.91,345,293.3,389.4,66,1.43056576,18.40877077,0.979946971,4.270487785,11.28480911,11.28480911,99.67868042,61.01478195,20.65507126,18.52244759,0,2.954330921,326T,7.096545635,0.088607736,0.08872304,0.238041254,0.224741718,0.770316299,0.688899379,22.26535243,0.969298521,0.582565505,0.029682438,0.009600377,0.688705089,0.000596146,0.002043327,0.001827362,2.364775377
5H2015,2,0.232516487,Delta,AL,AL,0.832726563,0.507855773,0.385375472,265,141.5,Dbl - Closed,36,"A,B",G,TIC Premium Brand,3600,0.92,0.886,14.99999944,460,60,3537,17.24,4.5,114.7,241.4,280.3,51,1.122097678,20.46148082,2.423980236,9.740234375,12.6336565,12.6336565,76.4675293,43.56798935,20.37505531,18.28849792,0,6.690348625,254 / 256T,15.40493758,0.277575521,0.297743748,0.530417891,0.811941553,2.081518486,1.398237376,59.01802752,2.822547578,1.636650747,0.025679508,0.009884905,0.544332434,0.002153742,0.005521399,0.00370894,2.304616035
5H2015C,2,0.232516487,Delta,AL,AL,1.332648057,0.814826369,0.618313536,265,141.5,Dbl - Closed,36,"A,B",G,TIC Premium Brand,3600,0.919,0.887,14.99999944,575,60,3535,13.79,3.49,89.2,234.4,273.7,52,1.122181222,20.46148082,3.885726213,15.58256626,12.6336565,12.6336565,76.02761078,43.62898254,20.37505531,18.35887909,0,10.74914551,254 / 256T,24.07370593,0.444216019,0.477713302,0.851026052,1.303271375,3.325382761,2.247018914,95.12217902,4.516328647,2.625560702,0.025603561,0.009893757,0.546646424,0.003457035,0.008820852,0.005960403,2.305649084
5H4010C,4,0.225294183,Delta,AL,AL,2.452631013,1.901467443,0.361810773,230,142.2,Dbl - Closed,48,A,J,TIC Premium Brand,1800,0.917,0.784,10.00000005,575,60,1767,10.42,5.03,71.3,306.3,324.5,54,1.358877722,10.60004581,6.173407078,22.1266613,14.69628716,14.69628716,81.4317627,46.48833466,23.80747414,16.70505142,0,13.2021656,215T,31.85953981,0.817543671,0.754426072,1.240258688,1.399865179,4.027815066,2.903033942,65.99928525,5.19600859,3.044893008,0.018981642,0.008396151,0.24621717,0.003713258,0.010684111,0.007700537,2.229642125
