DesignAuditID,RatingID,PoleSpeed,EfficiencyBand,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,Connection,WindingResistAt105,BarRes,ERRes,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize,Zbase,R1,R2,R3,X1,X2,X3,Xm,XdPrime,XdDoublePrime,ShortCircuitTimeConstant,SubTransientTimeConstant,OpenCircuitTimeConstant,L1,L2,L3,FirstCycleInrush
1,3H4075,4,10,75.000001022707,460,60,1779,88.67,32.6,Delta,0.0985720297917392,0.109241403639317,0.0141907089868554,1.2532751091703056,6.95516972114685,0.512836754322052,2.1364758014679,14.4394159317017,14.4394159317017,67.5961380004883,41.4576568603516,19.6596126556396,17.1220054626465,5.9713005558791,1.55066668987274,365T,2.995163232516385,0.03285734326391306,0.04114403754205747,0.13808824151010426,0.15810322331883017,0.41013482376148236,0.33826438450704965,8.146660240099013,0.5485799189603232,0.33935327592817777,0.03644061878902375,0.008659594863112848,0.5516620442049217,0.000419381825165894,0.0010879164089293875,0.000897274147770575,2.258055120689598
2,H0301117,4,20,250.0,380,50,1487,333.07,61.68,Delta,0.0164069515832517,0.0165589656680822,0.0034006054053601,1.266092245311708,10.0892894103056,0.0870096385478973,0.540744423866272,16.2688331604004,16.2688331604004,61.9074096679688,27.6499977111816,15.5642595291138,13.9764385223389,8.29871221779611,0.363796472549438,N449,0.6586996796230756,0.0054689838610839,0.0066531903578141,0.0235342289882152,0.04434499744591452,0.09802072823972126,0.06778374396466848,3.5569569113498347,0.1397369645516212,0.08397114420614285,0.06785106613305453,0.013262470544474946,1.7486580931742508,0.00014115451089829537,0.0003120096684963795,0.0002157623582650483,2.3616751452920184
3,H991397,4,20,300.000004090828,460,60,1781,340.83,84.53,Delta,0.0156586369260463,0.0136490445584059,0.0036655404053599,1.2023092369477912,9.8156500836799,0.129393175244331,0.646232068538666,15.6144571304321,15.6144571304321,78.8184127807617,37.9698905944824,14.596851348877,13.8401546478271,7.72014430172045,0.431756168603897,5010,0.7792187419746732,0.005219545642015433,0.005771528321255267,0.037911512772761564,0.04716262129953012,0.13200150960221277,0.08973819841993237,3.141856427626025,0.17384184787317167,0.0996905800361548,0.082022895549491,0.00868339956518123,1.5046582831205941,0.00012510273848318878,0.0003501448791464075,0.00023803796437822585,2.2366016325476332
4,H0103010,2,10,1200.00001636331,4000,60,3582,147.61,31.11,Wye,0.134402926503256,0.0816994234919548,0.0102124896889433,0.890897946674839,23.6850203312102,0.566750347614288,2.47136831283569,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.75501847267151,7.19222266031972,2.36525678634644,5811/12UDZ,15.645288779611835,0.134402926503256,0.0919119131808981,0.43234742111103197,1.5767767791209653,1.1972427615680121,0.9564734240161591,74.23340008866934,2.755016782977196,2.1046955320958722,0.07911186503604654,0.010005542030596599,2.176932103565007,0.004182530309160321,0.0031757850597423434,0.0025371245561367018,2.195030975423849
5,H010251,2,10,700.000016363313,4000,60,3576,87.53,17.35,Delta,0.7743339887049,0.424265056848526,0.0661701811250543,0.8227065712426807,31.108683420097,3.03265070915222,13.4782485961914,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.94400238990784,7.19222266031972,13.0446157455444,5811/12UDZ,26.384109182663124,0.2581113295683,0.1634784126578601,0.7527722401491066,3.1552675702233874,2.3056703742464104,1.7259609870492538,133.10669030308375,5.4216792250435475,4.135070421237234,0.08742305372416313,0.01072964734388381,2.19718577386365,0.008369607176310103,0.0061159806200309415,0.004578253711210925,2.216881090167375
6,H110291,6,10,600.0,4160,60,1190,72.07,17.69,Wye,0.394812925136707,0.284676194190979,0.0183495867831592,1.1316836058329651,4.17882625221169,1.41871893405914,7.60711574554443,20.3576927185059,20.3576927185059,20.7341747283936,12.5564184188843,6.55716180801392,5.06691646575928,4.0779279890454,6.16547918319702,5811UZ,33.32561564907511,0.394812925136707,0.3030257809741382,1.023906008922433,3.338339308448485,3.383606389391049,2.512308364989662,135.77032898975935,6.63967140090978,4.764977968372752,0.05814028931452366,0.010808645406677605,1.2181051941678471,0.008855220044292598,0.008975294705815099,0.006664104914320372,2.2590880645255886
7,H080451,6,10,450.000016363313,4160,60,1182,66.52,32.55,Wye,0.402590352421864,0.375188708305359,0.0291448442794071,1.1986754966887416,4.47825742729114,2.21651601791382,9.40594100952148,25.8709335327148,25.8709335327148,60.9152183532715,35.1879272460938,8.50071239471436,7.08900165557861,4.41161776202479,6.88945817947388,5011,36.10609019586355,0.402590352421864,0.4043335525847661,1.8139256654919562,2.6036454501638286,5.243299811923154,3.886643367058917,73.78731550933468,7.499077631220663,4.770194680029384,0.050896783715541134,0.008169111402182858,0.5184709918978481,0.006906384057538273,0.01390828471967292,0.010309641731712574,2.1757670946735335
8,H050111,4,10,350.0,4160,60,1790,46.82,19.24,Wye,0.353862769847114,0.284701883792877,0.046260631141008,1.4444444444444444,6.82159993226337,1.73737525939941,12.3525457382202,15.9386224746704,15.9386224746704,60.8622169494629,31.2228679656982,10.9243240356445,6.96485710144043,5.83941178291976,7.50915145874023,N449,51.29810166229909,0.353862769847114,0.33096251493388495,1.383512489552296,2.459244914050603,6.092517520101844,4.556053952560679,124.83249063559478,8.268250748679753,5.012644946148795,0.06815945573157219,0.012047887783264214,1.049331433928322,0.006523349739079281,0.016160904653303075,0.012085308459056662,2.448712140088919
9,H0803710,6,10,600.000008181656,4000,60,1191,88.84,39.96,Wye,0.247140344694571,0.190606817603111,0.0232023181593602,1.3598466698610447,4.47731384165538,1.19952738285065,7.29875135421753,20.2764301300049,20.2764301300049,45.0543937683105,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ,25.99505939620107,0.247140344694571,0.21380913576247118,0.9523870381560791,1.8393536878556842,3.5279803770674945,2.646826081338457,57.79281973870128,5.164358149451185,3.313057348106218,0.06588493938425347,0.010670271776276753,0.7607648458652148,0.0048790371919423215,0.009358258602358343,0.007020924239159443,2.3385774858765576
10,H0803710A,6,10,500.0,4000,60,1192,76.78,39.96,Wye,0.247140344694571,0.190606817603111,0.0232023181593602,1.35956917978459,4.47731384165538,1.19952738285065,7.55681180953979,20.2764301300049,20.2764301300049,47.9804573059082,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ,30.07815937429673,0.247140344694571,0.21380913576247118,0.9523870381560791,1.8365430569622978,3.7216969516388763,2.646826081338457,57.79281973870128,5.333073187091982,3.343000899230458,0.06825549405488138,0.0107255618780913,0.7631681537104664,0.004871581761944167,0.009872107775722764,0.007020924239159443,2.3385774858765576
